ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
ZRP,Cluster,1736,0,0,1,1,67.9147465437788
ZRP,Cluster,1736,0,0,2,1,68.75
ZRP,Cluster,1736,0,1,1,1,70.2764976958525
ZRP,Cluster,1736,0,1,2,1,68.4907834101382
ZRP,Cluster,1736,0,2,1,1,96.5437788018433
ZRP,Cluster,1736,0,2,2,1,97.7534562211981
ZRP,Cluster,3472,0,0,1,2,33.8709677419355
ZRP,Cluster,3472,0,0,2,2,34.5190092165899
ZRP,Cluster,3472,0,1,1,2,34.1589861751152
ZRP,Cluster,3472,0,1,2,2,35.2966589861751
ZRP,Cluster,3472,0,2,1,2,97.7822580645161
ZRP,Cluster,3472,0,2,2,2,98.2286866359447
ZRP,Cluster,5208,0,0,1,3,22.8494623655914
ZRP,Cluster,5208,0,0,2,3,23.5887096774194
ZRP,Cluster,5208,0,1,1,3,23.8863287250384
ZRP,Cluster,5208,0,1,2,3,24.0975422427035
ZRP,Cluster,5208,0,2,1,3,98.2718894009217
ZRP,Cluster,5208,0,2,2,3,98.2718894009217
DSR,Cluster,1736,0,0,1,1,23.6175115207373
DSR,Cluster,1736,0,0,2,1,22.4942396313364
DSR,Cluster,1736,0,1,1,1,96.3133640552995
DSR,Cluster,1736,0,1,2,1,96.8029953917051
DSR,Cluster,1736,0,2,1,1,97.8110599078341
DSR,Cluster,1736,0,2,2,1,98.0702764976959
DSR,Cluster,3472,0,0,1,2,11.2327188940092
DSR,Cluster,3472,0,0,2,2,11.1031105990783
DSR,Cluster,3472,0,1,1,2,78.9458525345622
DSR,Cluster,3472,0,1,2,2,92.0218894009217
DSR,Cluster,3472,0,2,1,2,96.9758064516129
DSR,Cluster,3472,0,2,2,2,96.918202764977
DSR,Cluster,5208,0,0,1,3,6.89324116743472
DSR,Cluster,5208,0,0,2,3,7.93010752688172
DSR,Cluster,5208,0,1,1,3,83.6597542242704
DSR,Cluster,5208,0,1,2,3,94.9980798771121
DSR,Cluster,5208,0,2,1,3,97.7726574500768
