ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSR,Cluster,1736,0,0,1,1,23.6175115207373
DSR,Cluster,1736,0,0,2,1,22.4942396313364
DSR,Cluster,1736,0,1,1,1,96.3133640552995
DSR,Cluster,1736,0,1,2,1,96.8029953917051
DSR,Cluster,1736,0,2,1,1,97.8110599078341
DSR,Cluster,1736,0,2,2,1,98.0702764976959
DSR,Cluster,3472,0,0,1,2,11.2327188940092
DSR,Cluster,3472,0,0,2,2,11.1031105990783
DSR,Cluster,3472,0,1,1,2,78.9458525345622
DSR,Cluster,3472,0,1,2,2,92.0218894009217
DSR,Cluster,3472,0,2,1,2,96.9758064516129
DSR,Cluster,3472,0,2,2,2,96.918202764977
DSR,Cluster,5208,0,0,1,3,6.89324116743472
DSR,Cluster,5208,0,0,2,3,7.93010752688172
DSR,Cluster,5208,0,1,1,3,83.6597542242704
DSR,Cluster,5208,0,1,2,3,94.9980798771121
DSR,Cluster,5208,0,2,1,3,97.7726574500768
