ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSDV,AddIn,1758,70,NAN,1,1,100
DSR,AddIn,1758,70,0,1,1,20.6484641638225
DSR,AddIn,1758,70,1,1,1,93.1171786120592
DSR,AddIn,1758,70,2,1,1,93.9704209328783
DSDV,AddIn,1958,26,NAN,1,201,100
DSR,AddIn,1958,26,0,1,201,21.0418794688458
ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSDV,AddIn,1758,72,NAN,1,1,100
DSDV,AddIn,2058,18,NAN,1,301,100
DSDV,AddIn,2058,12,NAN,1,301,100
DSDV,AddIn,2058,18,NAN,1,301,100
ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSDV,AddIn,1758,71,NAN,1,1,100
ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSDV,AddIn,1758,71,NAN,1,1,85
DSR,AddIn,1758,71,0,1,1,20.4
ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSDV,AddIn,1758,72,NAN,1,1,80
DSR,AddIn,1758,72,0,1,1,21.4
ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSDV,AddIn,1758,72,NAN,1,1,91.5
DSR,AddIn,1758,72,0,1,1,20.5
ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSDV,AddIn,1758,72,NAN,1,1,92
DSR,AddIn,1758,72,0,1,1,19.2
DSR,AddIn,1758,72,1,1,1,90.5
ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSDV,AddIn,1758,72,NAN,1,1,95
DSR,AddIn,1758,72,0,1,1,22.4
ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSDV,AddIn,1758,72,NAN,1,1,92.5
DSR,AddIn,1758,72,0,1,1,21
DSR,AddIn,1758,72,1,1,1,90.3
DSR,AddIn,1758,72,2,1,1,92.1
DSDV,AddIn,2058,22,NAN,1,301,98
DSR,AddIn,2058,22,0,1,301,18.4
DSR,AddIn,2058,22,1,1,301,95.8
DSR,AddIn,2058,22,2,1,301,98.3
DSDV,AddIn,2358,2,NAN,1,601,100
DSR,AddIn,2358,2,0,1,601,23.5
DSR,AddIn,2358,2,1,1,601,99.1
DSR,AddIn,2358,2,2,1,601,99.7
DSDV,AddIn,2658,1,NAN,1,901,99.5
DSR,AddIn,2658,1,0,1,901,25.7
DSR,AddIn,2658,1,1,1,901,99.3
DSR,AddIn,2658,1,2,1,901,99.9
DSDV,AddIn,2958,1,NAN,1,1201,100
DSR,AddIn,2958,1,0,1,1201,19.1
DSR,AddIn,2958,1,1,1,1201,99.3
DSR,AddIn,2958,1,2,1,1201,100
DSDV,AddIn,3258,0,NAN,1,1501,100
DSR,AddIn,3258,0,0,1,1501,20
DSR,AddIn,3258,0,1,1,1501,99.9
DSR,AddIn,3258,0,2,1,1501,100
DSDV,AddIn,3558,0,NAN,1,1801,100
DSR,AddIn,3558,0,0,1,1801,23.2
DSR,AddIn,3558,0,1,1,1801,100
DSR,AddIn,3558,0,2,1,1801,100
DSDV,AddIn,3858,0,NAN,1,2101,100
DSR,AddIn,3858,0,0,1,2101,27
DSR,AddIn,3858,0,1,1,2101,100
DSR,AddIn,3858,0,2,1,2101,100
DSDV,AddIn,4158,0,NAN,1,2401,100
DSR,AddIn,4158,0,0,1,2401,26.1
DSR,AddIn,4158,0,1,1,2401,100
DSR,AddIn,4158,0,2,1,2401,100
DSDV,AddIn,4458,0,NAN,1,2701,100
DSR,AddIn,4458,0,0,1,2701,30.1
DSR,AddIn,4458,0,1,1,2701,100
DSR,AddIn,4458,0,2,1,2701,100
DSDV,AddIn,4758,0,NAN,1,3001,100
DSR,AddIn,4758,0,0,1,3001,27
DSR,AddIn,4758,0,1,1,3001,100
DSR,AddIn,4758,0,2,1,3001,100
DSDV,AddIn,5058,0,NAN,1,3301,100
DSR,AddIn,5058,0,0,1,3301,28.7
DSR,AddIn,5058,0,1,1,3301,100
DSR,AddIn,5058,0,2,1,3301,100
DSDV,AddIn,5358,0,NAN,1,3601,100
DSR,AddIn,5358,0,0,1,3601,26
DSR,AddIn,5358,0,1,1,3601,100
DSR,AddIn,5358,0,2,1,3601,100
