ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSDV,Cluster,1757,72,NAN,1,1,94
DSR,Cluster,1757,72,0,1,1,19.5
DSR,Cluster,1757,72,1,1,1,88.6
DSR,Cluster,1757,72,2,1,1,90.5
ZRP,Cluster,1757,72,0,1,1,63.7450199203187
ZRP,Cluster,1757,72,1,1,1,66.1923733636881
ZRP,Cluster,1757,72,2,1,1,91.4627205463859
ZPRUNE,Cluster,1757,72,0,1,1,1.87820147979511
ZPRUNE,Cluster,1757,72,1,1,1,1.70745589072282
ZPRUNE,Cluster,1757,72,2,1,1,14.3426294820717
DSDV,Cluster,3514,142,NAN,1,2,94
DSR,Cluster,3514,142,0,1,2,8.9
DSR,Cluster,3514,142,1,1,2,51.1
DSR,Cluster,3514,142,2,1,2,89.6
ZRP,Cluster,3514,142,0,1,2,33.7222538417758
ZRP,Cluster,3514,142,1,1,2,31.6448491747297
ZRP,Cluster,3514,142,2,1,2,90.8081957882755
ZPRUNE,Cluster,3514,142,0,1,2,0.853727945361411
ZPRUNE,Cluster,3514,142,1,1,2,1.02447353443369
ZPRUNE,Cluster,3514,142,2,1,2,26.9208878770632
DSDV,Cluster,5271,210,NAN,1,3,94
DSR,Cluster,5271,210,0,1,3,5.2
DSR,Cluster,5271,210,1,1,3,45.1
DSR,Cluster,5271,210,2,1,3,89.3
ZRP,Cluster,5271,210,0,1,3,20.5843293492696
ZRP,Cluster,5271,210,1,1,3,21.1155378486056
ZRP,Cluster,5271,210,2,1,3,90.817681654335
ZPRUNE,Cluster,5271,210,0,1,3,0.701954088408272
ZPRUNE,Cluster,5271,210,1,1,3,0.569151963574274
ZPRUNE,Cluster,5271,210,2,1,3,30.620375640296
DSDV,Cluster,7028,275,NAN,1,4,93.5
DSR,Cluster,7028,275,0,1,4,4.2
DSR,Cluster,7028,275,1,1,4,33.9
DSR,Cluster,7028,275,2,1,4,86.9
ZRP,Cluster,7028,275,0,1,4,16.4769493454752
ZRP,Cluster,7028,275,1,1,4,16.7615253272624
ZRP,Cluster,7028,275,2,1,4,90.8224245873648
ZPRUNE,Cluster,7028,275,0,1,4,0.455321570859419
ZPRUNE,Cluster,7028,275,1,1,4,0.597609561752988
ZPRUNE,Cluster,7028,275,2,1,4,31.6021627774616
ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSDV,Cluster,1757,72,NAN,1,1,92
DSR,Cluster,1757,72,0,1,1,22.5
DSR,Cluster,1757,72,1,1,1,90.7
ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,Size,FoundPercentage
DSDV,Cluster,1757,72,NAN,1,1,94.5
DSR,Cluster,1757,72,0,1,1,21.9
