ProtocolType,NetworkType,NetworkSize,TTL,Repeats,Size,TableSize
DSDV,AddIn,1749,NAN,1,1,1680.55882352941
DSDV,AddIn,1749,NAN,2,1,1680.55882352941
DSDV,AddIn,1749,NAN,3,1,1680.55882352941
DSR,AddIn,1749,0,1,1,509.588235294118
DSR,AddIn,1749,0,2,1,713.058823529412
DSR,AddIn,1749,0,3,1,806.176470588235
DSR,AddIn,1749,1,1,1,931.941176470588
DSR,AddIn,1749,1,2,1,983.911764705882
DSR,AddIn,1749,1,3,1,1073.17647058824
DSR,AddIn,1749,2,1,1,1117.76470588235
DSR,AddIn,1749,2,2,1,1126.44117647059
DSR,AddIn,1749,2,3,1,1145.23529411765
DSR,AddIn,1749,3,1,1,1145.23529411765
DSR,AddIn,1749,3,2,1,1180.20588235294
DSR,AddIn,1749,3,3,1,1180.20588235294
ZRP,AddIn,1749,0,1,1,1099.52941176471
ZRP,AddIn,1749,0,2,1,1099.52941176471
ZRP,AddIn,1749,0,3,1,1099.52941176471
ZRP,AddIn,1749,1,1,1,1099.52941176471
ZRP,AddIn,1749,1,2,1,1099.52941176471
ZRP,AddIn,1749,1,3,1,1099.52941176471
ZRP,AddIn,1749,2,1,1,1099.52941176471
ZRP,AddIn,1749,2,2,1,1099.52941176471
ZRP,AddIn,1749,2,3,1,1099.52941176471
ZRP,AddIn,1749,3,1,1,1099.52941176471
ZRP,AddIn,1749,3,2,1,1099.52941176471
ZRP,AddIn,1749,3,3,1,1099.52941176471
ZPRUNE,AddIn,1749,0,1,1,18.0882352941176
ZPRUNE,AddIn,1749,0,2,1,18.0882352941176
ZPRUNE,AddIn,1749,0,3,1,18.0882352941176
ZPRUNE,AddIn,1749,1,1,1,18.0882352941176
ZPRUNE,AddIn,1749,1,2,1,18.0882352941176
ZPRUNE,AddIn,1749,1,3,1,18.0882352941176
ZPRUNE,AddIn,1749,2,1,1,18.0882352941176
ZPRUNE,AddIn,1749,2,2,1,18.0882352941176
ZPRUNE,AddIn,1749,2,3,1,18.0882352941176
ZPRUNE,AddIn,1749,3,1,1,18.0882352941176
ZPRUNE,AddIn,1749,3,2,1,18.0882352941176
ZPRUNE,AddIn,1749,3,3,1,18.0882352941176
ProtocolType,NetworkType,NetworkSize,TTL,Repeats,Size,TableSize
DSDV,AddIn,1749,NAN,1,1,1680.44117647059
DSDV,AddIn,1749,NAN,2,1,1680.44117647059
DSDV,AddIn,1749,NAN,3,1,1680.44117647059
DSR,AddIn,1749,0,1,1,664.558823529412
DSR,AddIn,1749,0,2,1,817.823529411765
DSR,AddIn,1749,0,3,1,937.676470588235
DSR,AddIn,1749,1,1,1,1013.88235294118
DSR,AddIn,1749,1,2,1,1091.23529411765
DSR,AddIn,1749,1,3,1,1094.35294117647
