ProtocolType,NetworkType,NetworkSize,TTL,Repeats,Size,TableSize
DSDV,Cluster,1748,NAN,1,1,1425.32352941176
DSDV,Cluster,1748,NAN,2,1,1425.32352941176
DSDV,Cluster,1748,NAN,3,1,1425.32352941176
ProtocolType,NetworkType,NetworkSize,TTL,Repeats,Size,TableSize
DSDV,Cluster,1748,NAN,1,1,1680.08823529412
DSDV,Cluster,1748,NAN,2,1,1680.08823529412
DSDV,Cluster,1748,NAN,3,1,1680.08823529412
DSR,Cluster,1748,0,1,1,592.205882352941
DSR,Cluster,1748,0,2,1,768.676470588235
DSR,Cluster,1748,0,3,1,818.088235294118
DSR,Cluster,1748,1,1,1,834.823529411765
DSR,Cluster,1748,1,2,1,875.205882352941
DSR,Cluster,1748,1,3,1,933.647058823529
DSR,Cluster,1748,2,1,1,954.705882352941
DSR,Cluster,1748,2,2,1,964.058823529412
DSR,Cluster,1748,2,3,1,967
DSR,Cluster,1748,3,1,1,967.029411764706
DSR,Cluster,1748,3,2,1,967.029411764706
DSR,Cluster,1748,3,3,1,967.029411764706
ZRP,Cluster,1748,0,1,1,1184.11764705882
ZRP,Cluster,1748,0,2,1,1184.11764705882
ZRP,Cluster,1748,0,3,1,1184.11764705882
ZRP,Cluster,1748,1,1,1,1184.11764705882
ZRP,Cluster,1748,1,2,1,1184.11764705882
ZRP,Cluster,1748,1,3,1,1184.11764705882
ZRP,Cluster,1748,2,1,1,1184.11764705882
ZRP,Cluster,1748,2,2,1,1184.11764705882
ZRP,Cluster,1748,2,3,1,1184.11764705882
ZRP,Cluster,1748,3,1,1,1184.11764705882
ZRP,Cluster,1748,3,2,1,1184.11764705882
ZRP,Cluster,1748,3,3,1,1184.11764705882
ZPRUNE,Cluster,1748,0,1,1,16.1470588235294
ZPRUNE,Cluster,1748,0,2,1,16.1470588235294
ZPRUNE,Cluster,1748,0,3,1,16.1470588235294
ZPRUNE,Cluster,1748,1,1,1,16.1470588235294
ZPRUNE,Cluster,1748,1,2,1,16.1470588235294
ZPRUNE,Cluster,1748,1,3,1,16.1470588235294
ZPRUNE,Cluster,1748,2,1,1,16.1470588235294
ZPRUNE,Cluster,1748,2,2,1,16.1470588235294
ZPRUNE,Cluster,1748,2,3,1,16.1470588235294
ZPRUNE,Cluster,1748,3,1,1,16.1470588235294
ZPRUNE,Cluster,1748,3,2,1,16.1470588235294
ZPRUNE,Cluster,1748,3,3,1,16.1470588235294
DSDV,Cluster,3496,NAN,1,2,3211.04347826087
DSDV,Cluster,3496,NAN,2,2,3211.04347826087
DSDV,Cluster,3496,NAN,3,2,3211.04347826087
DSR,Cluster,3496,0,1,2,784.95652173913
DSR,Cluster,3496,0,2,2,926.449275362319
DSR,Cluster,3496,0,3,2,1003.82608695652
DSR,Cluster,3496,1,1,2,1020.63768115942
DSR,Cluster,3496,1,2,2,1030.82608695652
DSR,Cluster,3496,1,3,2,1032.17391304348
DSR,Cluster,3496,2,1,2,1034.28985507246
DSR,Cluster,3496,2,2,2,1034.28985507246
DSR,Cluster,3496,2,3,2,1034.28985507246
DSR,Cluster,3496,3,1,2,1034.28985507246
DSR,Cluster,3496,3,2,2,1034.28985507246
DSR,Cluster,3496,3,3,2,1034.28985507246
ZRP,Cluster,3496,0,1,2,1062.94202898551
ZRP,Cluster,3496,0,2,2,1062.94202898551
ZRP,Cluster,3496,0,3,2,1062.94202898551
ZRP,Cluster,3496,1,1,2,1062.94202898551
ZRP,Cluster,3496,1,2,2,1062.94202898551
ZRP,Cluster,3496,1,3,2,1062.94202898551
ZRP,Cluster,3496,2,1,2,1062.94202898551
ZRP,Cluster,3496,2,2,2,1062.94202898551
ZRP,Cluster,3496,2,3,2,1062.94202898551
ZRP,Cluster,3496,3,1,2,1062.94202898551
ZRP,Cluster,3496,3,2,2,1062.94202898551
ZRP,Cluster,3496,3,3,2,1062.94202898551
ZPRUNE,Cluster,3496,0,1,2,16.5217391304348
ZPRUNE,Cluster,3496,0,2,2,16.5217391304348
ZPRUNE,Cluster,3496,0,3,2,16.5217391304348
ZPRUNE,Cluster,3496,1,1,2,16.5217391304348
ZPRUNE,Cluster,3496,1,2,2,16.5217391304348
ZPRUNE,Cluster,3496,1,3,2,16.5217391304348
ZPRUNE,Cluster,3496,2,1,2,16.5217391304348
ZPRUNE,Cluster,3496,2,2,2,16.5217391304348
ZPRUNE,Cluster,3496,2,3,2,16.5217391304348
ZPRUNE,Cluster,3496,3,1,2,16.5217391304348
ZPRUNE,Cluster,3496,3,2,2,16.5217391304348
ZPRUNE,Cluster,3496,3,3,2,16.5217391304348
DSDV,Cluster,5244,NAN,1,3,4994.08653846154
DSDV,Cluster,5244,NAN,2,3,4994.08653846154
DSDV,Cluster,5244,NAN,3,3,4994.08653846154
DSR,Cluster,5244,0,1,3,994.240384615385
DSR,Cluster,5244,0,2,3,1356.18269230769
DSR,Cluster,5244,0,3,3,1447.16346153846
DSR,Cluster,5244,1,1,3,1624.68269230769
DSR,Cluster,5244,1,2,3,1710.26923076923
DSR,Cluster,5244,1,3,3,1771.43269230769
DSR,Cluster,5244,2,1,3,1852.39423076923
DSR,Cluster,5244,2,2,3,1979.10576923077
DSR,Cluster,5244,2,3,3,2047.96153846154
DSR,Cluster,5244,3,1,3,2111.31730769231
DSR,Cluster,5244,3,2,3,2150.66346153846
DSR,Cluster,5244,3,3,3,2150.66346153846
