ProtocolType,NetworkType,NetworkSize,TTL,Repeats,Size,TableSize
DSDV,Original,1748,NAN,1,1,1629.11764705882
DSDV,Original,1748,NAN,2,1,1629.11764705882
DSDV,Original,1748,NAN,3,1,1629.11764705882
DSR,Original,1748,0,1,1,599.058823529412
DSR,Original,1748,0,2,1,841.294117647059
DSR,Original,1748,0,3,1,858.058823529412
DSR,Original,1748,1,1,1,922.441176470588
DSR,Original,1748,1,2,1,963.205882352941
DSR,Original,1748,1,3,1,1031.61764705882
DSR,Original,1748,2,1,1,1060.97058823529
DSR,Original,1748,2,2,1,1102.47058823529
DSR,Original,1748,2,3,1,1122.55882352941
DSR,Original,1748,3,1,1,1140.70588235294
DSR,Original,1748,3,2,1,1147.79411764706
DSR,Original,1748,3,3,1,1158.61764705882
ZRP,Original,1748,0,1,1,1106.97058823529
ZRP,Original,1748,0,2,1,1106.97058823529
ZRP,Original,1748,0,3,1,1106.97058823529
ZRP,Original,1748,1,1,1,1106.97058823529
ZRP,Original,1748,1,2,1,1106.97058823529
ZRP,Original,1748,1,3,1,1106.97058823529
ZRP,Original,1748,2,1,1,1106.97058823529
ZRP,Original,1748,2,2,1,1106.97058823529
ZRP,Original,1748,2,3,1,1106.97058823529
ZRP,Original,1748,3,1,1,1106.97058823529
ZRP,Original,1748,3,2,1,1106.97058823529
ZRP,Original,1748,3,3,1,1106.97058823529
ZPRUNE,Original,1748,0,1,1,23.0588235294118
ZPRUNE,Original,1748,0,2,1,23.0588235294118
ZPRUNE,Original,1748,0,3,1,23.0588235294118
ZPRUNE,Original,1748,1,1,1,23.0588235294118
ZPRUNE,Original,1748,1,2,1,23.0588235294118
ZPRUNE,Original,1748,1,3,1,23.0588235294118
ZPRUNE,Original,1748,2,1,1,23.0588235294118
ZPRUNE,Original,1748,2,2,1,23.0588235294118
ZPRUNE,Original,1748,2,3,1,23.0588235294118
ZPRUNE,Original,1748,3,1,1,23.0588235294118
ZPRUNE,Original,1748,3,2,1,23.0588235294118
ZPRUNE,Original,1748,3,3,1,23.0588235294118
DSDV,Original,1748,NAN,1,2,1679.58823529412
DSDV,Original,1748,NAN,2,2,1679.58823529412
DSDV,Original,1748,NAN,3,2,1679.58823529412
DSR,Original,1748,0,1,2,547.147058823529
DSR,Original,1748,0,2,2,707.970588235294
DSR,Original,1748,0,3,2,834.176470588235
DSR,Original,1748,1,1,2,955.411764705882
DSR,Original,1748,1,2,2,1006.64705882353
DSR,Original,1748,1,3,2,1069.26470588235
DSR,Original,1748,2,1,2,1092.70588235294
DSR,Original,1748,2,2,2,1092.70588235294
DSR,Original,1748,2,3,2,1095.67647058824
DSR,Original,1748,3,1,2,1100.02941176471
DSR,Original,1748,3,2,2,1136.29411764706
DSR,Original,1748,3,3,2,1136.29411764706
ZRP,Original,1748,0,1,2,1079.5
ZRP,Original,1748,0,2,2,1079.5
ZRP,Original,1748,0,3,2,1079.5
ZRP,Original,1748,1,1,2,1079.5
ZRP,Original,1748,1,2,2,1079.5
ZRP,Original,1748,1,3,2,1079.5
ZRP,Original,1748,2,1,2,1079.5
ZRP,Original,1748,2,2,2,1079.5
ZRP,Original,1748,2,3,2,1079.5
ZRP,Original,1748,3,1,2,1079.5
ZRP,Original,1748,3,2,2,1079.5
ZRP,Original,1748,3,3,2,1079.5
ZPRUNE,Original,1748,0,1,2,17.9705882352941
ZPRUNE,Original,1748,0,2,2,17.9705882352941
ZPRUNE,Original,1748,0,3,2,17.9705882352941
ZPRUNE,Original,1748,1,1,2,17.9705882352941
ZPRUNE,Original,1748,1,2,2,17.9705882352941
ZPRUNE,Original,1748,1,3,2,17.9705882352941
ZPRUNE,Original,1748,2,1,2,17.9705882352941
ZPRUNE,Original,1748,2,2,2,17.9705882352941
ZPRUNE,Original,1748,2,3,2,17.9705882352941
ZPRUNE,Original,1748,3,1,2,17.9705882352941
ZPRUNE,Original,1748,3,2,2,17.9705882352941
ZPRUNE,Original,1748,3,3,2,17.9705882352941
DSDV,Original,1748,NAN,1,3,1629.17647058824
DSDV,Original,1748,NAN,2,3,1629.17647058824
DSDV,Original,1748,NAN,3,3,1629.17647058824
DSR,Original,1748,0,1,3,560.264705882353
DSR,Original,1748,0,2,3,668.382352941176
DSR,Original,1748,0,3,3,851.205882352941
DSR,Original,1748,1,1,3,859.941176470588
DSR,Original,1748,1,2,3,875.088235294118
DSR,Original,1748,1,3,3,945.705882352941
DSR,Original,1748,2,1,3,963.470588235294
DSR,Original,1748,2,2,3,998.617647058824
DSR,Original,1748,2,3,3,1025.76470588235
DSR,Original,1748,3,1,3,1029.41176470588
DSR,Original,1748,3,2,3,1059.32352941176
DSR,Original,1748,3,3,3,1106.29411764706
ZRP,Original,1748,0,1,3,1115.17647058824
ZRP,Original,1748,0,2,3,1115.17647058824
ZRP,Original,1748,0,3,3,1115.17647058824
ZRP,Original,1748,1,1,3,1115.17647058824
ZRP,Original,1748,1,2,3,1115.17647058824
ZRP,Original,1748,1,3,3,1115.17647058824
ZRP,Original,1748,2,1,3,1115.17647058824
ZRP,Original,1748,2,2,3,1115.17647058824
ZRP,Original,1748,2,3,3,1115.17647058824
ZRP,Original,1748,3,1,3,1115.17647058824
ZRP,Original,1748,3,2,3,1115.17647058824
ZRP,Original,1748,3,3,3,1115.17647058824
ZPRUNE,Original,1748,0,1,3,15.1176470588235
ZPRUNE,Original,1748,0,2,3,15.1176470588235
ZPRUNE,Original,1748,0,3,3,15.1176470588235
ZPRUNE,Original,1748,1,1,3,15.1176470588235
ZPRUNE,Original,1748,1,2,3,15.1176470588235
ZPRUNE,Original,1748,1,3,3,15.1176470588235
ZPRUNE,Original,1748,2,1,3,15.1176470588235
ZPRUNE,Original,1748,2,2,3,15.1176470588235
ZPRUNE,Original,1748,2,3,3,15.1176470588235
ZPRUNE,Original,1748,3,1,3,15.1176470588235
ZPRUNE,Original,1748,3,2,3,15.1176470588235
ZPRUNE,Original,1748,3,3,3,15.1176470588235
