ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,FoundPercentage
ZRP,AddIn,1946,18,0,1,65.262076053443
ZRP,AddIn,1946,18,1,1,66.8036998972251
ZRP,AddIn,1946,18,2,1,98.4583761562179
ZRP,AddIn,1946,18,3,1,98.4069886947585
ZRP,AddIn,2196,6,0,1,78.551912568306
ZRP,AddIn,2196,6,1,1,79.2349726775956
ZRP,AddIn,2196,6,2,1,99.5901639344262
ZRP,AddIn,2196,6,3,1,99.4990892531876
ZRP,AddIn,2446,1,0,1,84.096484055601
ZRP,AddIn,2446,1,1,1,86.3859362224039
ZRP,AddIn,2446,1,2,1,99.9182338511856
ZRP,AddIn,2446,1,3,1,99.9182338511856
ZRP,AddIn,2696,1,0,1,84.013353115727
ZRP,AddIn,2696,1,1,1,85.6824925816024
ZRP,AddIn,2696,1,2,1,99.9629080118694
ZRP,AddIn,2696,1,3,1,99.9629080118694
ZRP,AddIn,2946,1,0,1,87.5424304141208
ZRP,AddIn,2946,1,1,1,88.4249830278343
ZRP,AddIn,2946,1,2,1,99.9660556687033
ZRP,AddIn,2946,1,3,1,99.9660556687033
ZRP,AddIn,3196,0,0,1,89.549436795995
ZRP,AddIn,3196,0,1,1,89.8936170212766
ZRP,AddIn,3196,0,2,1,100
ZRP,AddIn,3196,0,3,1,100
ZRP,AddIn,3446,0,0,1,90.62681369704
ZRP,AddIn,3446,0,1,1,91.874637260592
ZRP,AddIn,3446,0,2,1,100
ZRP,AddIn,3446,0,3,1,100
ZRP,AddIn,3696,0,0,1,95.4274891774892
ZRP,AddIn,3696,0,1,1,95.8603896103896
ZRP,AddIn,3696,0,2,1,100
ZRP,AddIn,3696,0,3,1,100
ZRP,AddIn,3946,0,0,1,94.2219969589458
ZRP,AddIn,3946,0,1,1,94.4500760263558
ZRP,AddIn,3946,0,2,1,100
ZRP,AddIn,3946,0,3,1,100
ZRP,AddIn,4196,0,0,1,96.4489990467112
ZRP,AddIn,4196,0,1,1,96.5919923736892
ZRP,AddIn,4196,0,2,1,100
ZRP,AddIn,4196,0,3,1,100
DSDV,AddIn,1758,72,NAN,1,95
DSR,AddIn,1758,72,0,1,21
DSR,AddIn,1758,72,1,1,90.3
DSR,AddIn,1758,72,2,1,92.1
DSDV,AddIn,2058,22,NAN,1,98
DSR,AddIn,2058,22,0,1,18.4
DSR,AddIn,2058,22,1,1,95.8
DSR,AddIn,2058,22,2,1,98.3
DSDV,AddIn,2358,2,NAN,1,100
DSR,AddIn,2358,2,0,1,23.5
DSR,AddIn,2358,2,1,1,99.1
DSR,AddIn,2358,2,2,1,99.7
DSDV,AddIn,2658,1,NAN,1,99.5
DSR,AddIn,2658,1,0,1,25.7
DSR,AddIn,2658,1,1,1,99.3
DSR,AddIn,2658,1,2,1,99.9
DSDV,AddIn,2958,1,NAN,1,100
DSR,AddIn,2958,1,0,1,19.1
DSR,AddIn,2958,1,1,1,99.3
DSR,AddIn,2958,1,2,1,100
DSDV,AddIn,3258,0,NAN,1,100
DSR,AddIn,3258,0,0,1,20
DSR,AddIn,3258,0,1,1,99.9
DSR,AddIn,3258,0,2,1,100
DSDV,AddIn,3558,0,NAN,1,100
DSR,AddIn,3558,0,0,1,23.2
DSR,AddIn,3558,0,1,1,100
DSR,AddIn,3558,0,2,1,100
DSDV,AddIn,3858,0,NAN,1,100
DSR,AddIn,3858,0,0,1,27
DSR,AddIn,3858,0,1,1,100
DSR,AddIn,3858,0,2,1,100
DSDV,AddIn,4158,0,NAN,1,100
DSR,AddIn,4158,0,0,1,26.1
DSR,AddIn,4158,0,1,1,100
DSR,AddIn,4158,0,2,1,100
DSDV,AddIn,4458,0,NAN,1,100
DSR,AddIn,4458,0,0,1,30.1
DSR,AddIn,4458,0,1,1,100
DSR,AddIn,4458,0,2,1,100
DSDV,AddIn,4758,0,NAN,1,100
DSR,AddIn,4758,0,0,1,27
DSR,AddIn,4758,0,1,1,100
DSR,AddIn,4758,0,2,1,100
DSDV,AddIn,5058,0,NAN,1,100
DSR,AddIn,5058,0,0,1,28.7
DSR,AddIn,5058,0,1,1,100
DSR,AddIn,5058,0,2,1,100
DSDV,AddIn,5358,0,NAN,1,100
DSR,AddIn,5358,0,0,1,26
DSR,AddIn,5358,0,1,1,100
DSR,AddIn,5358,0,2,1,100
