ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,FoundPercentage
ZRP,AddIn,1946,18,0,1,65.262076053443
ZRP,AddIn,1946,18,1,1,66.8036998972251
ZRP,AddIn,1946,18,2,1,98.4583761562179
ZRP,AddIn,1946,18,3,1,98.4069886947585
DSR,AddIn,1946,18,0,1,18.191161356629
ZRP,AddIn,2196,6,0,1,78.551912568306
ZRP,AddIn,2196,6,1,1,79.2349726775956
ZRP,AddIn,2196,6,2,1,99.5901639344262
ZRP,AddIn,2196,6,3,1,99.4990892531876
DSR,AddIn,2196,6,0,1,21.4025500910747
ZRP,AddIn,2446,1,0,1,84.096484055601
ZRP,AddIn,2446,1,1,1,86.3859362224039
ZRP,AddIn,2446,1,2,1,99.9182338511856
ZRP,AddIn,2446,1,3,1,99.9182338511856
DSR,AddIn,2446,1,0,1,21.4227309893704
DSR,AddIn,2446,1,1,1,99.9182338511856
DSR,AddIn,2446,1,2,1,99.8773507767784
ZRP,AddIn,2696,1,0,1,84.013353115727
ZRP,AddIn,2696,1,1,1,85.6824925816024
ZRP,AddIn,2696,1,2,1,99.9629080118694
ZRP,AddIn,2696,1,3,1,99.9629080118694
DSR,AddIn,2696,1,0,1,21.6246290801187
DSR,AddIn,2696,1,1,1,99.9629080118694
DSR,AddIn,2696,1,2,1,99.9629080118694
DSR,AddIn,2696,1,3,1,99.9629080118694
ZRP,AddIn,2946,1,0,1,87.5424304141208
ZRP,AddIn,2946,1,1,1,88.4249830278343
ZRP,AddIn,2946,1,2,1,99.9660556687033
ZRP,AddIn,2946,1,3,1,99.9660556687033
DSR,AddIn,2946,1,0,1,21.3509843856076
ZRP,AddIn,3196,0,0,1,89.549436795995
ZRP,AddIn,3196,0,1,1,89.8936170212766
ZRP,AddIn,3196,0,2,1,100
ZRP,AddIn,3196,0,3,1,100
DSR,AddIn,3196,0,0,1,21.558197747184
ZRP,AddIn,3446,0,0,1,90.62681369704
ZRP,AddIn,3446,0,1,1,91.874637260592
ZRP,AddIn,3446,0,2,1,100
ZRP,AddIn,3446,0,3,1,100
DSR,AddIn,3446,0,0,1,21.4161346488683
ZRP,AddIn,3696,0,0,1,95.4274891774892
ZRP,AddIn,3696,0,1,1,95.8603896103896
ZRP,AddIn,3696,0,2,1,100
ZRP,AddIn,3696,0,3,1,100
DSR,AddIn,3696,0,0,1,24.4859307359307
DSR,AddIn,3696,0,1,1,100
DSR,AddIn,3696,0,2,1,100
DSR,AddIn,3696,0,3,1,100
ZRP,AddIn,3946,0,0,1,94.2219969589458
ZRP,AddIn,3946,0,1,1,94.4500760263558
ZRP,AddIn,3946,0,2,1,100
ZRP,AddIn,3946,0,3,1,100
DSR,AddIn,3946,0,0,1,23.2133806386214
DSR,AddIn,3946,0,1,1,100
DSR,AddIn,3946,0,2,1,100
ZRP,AddIn,4196,0,0,1,96.4489990467112
ZRP,AddIn,4196,0,1,1,96.5919923736892
ZRP,AddIn,4196,0,2,1,100
ZRP,AddIn,4196,0,3,1,100
DSR,AddIn,4196,0,0,1,24.4518589132507
DSR,AddIn,4196,0,1,1,100
DSR,AddIn,4196,0,2,1,100
DSR,AddIn,4196,0,3,1,100
