ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,FoundPercentage
ZRP,Cluster,1714,0,0,1,68.3780630105018
ZRP,Cluster,1714,0,1,1,69.3115519253209
ZRP,Cluster,1714,0,2,1,97.7246207701284
ZRP,Cluster,1714,0,3,1,97.7829638273045
DSR,Cluster,1714,0,0,1,21.4702450408401
ZRP,Cluster,3428,0,0,1,69.63243873979
ZRP,Cluster,3428,0,1,1,70.0116686114352
ZRP,Cluster,3428,0,2,1,97.316219369895
ZRP,Cluster,3428,0,3,1,97.5787631271879
DSR,Cluster,3428,0,0,1,21.5577596266044
DSR,Cluster,3428,0,1,1,95.8576429404901
ZRP,Cluster,5142,0,0,1,68.7086736678335
ZRP,Cluster,5142,0,1,1,69.2143134966939
ZRP,Cluster,5142,0,2,1,97.2773239984442
ZRP,Cluster,5142,0,3,1,97.6662777129522
DSR,Cluster,5142,0,0,1,21.7814080124465
DSR,Cluster,5142,0,1,1,96.6744457409568
DSR,Cluster,5142,0,2,1,98.3080513418903
DSR,Cluster,5142,0,3,1,98.2691559704395
ZRP,Cluster,6856,0,0,1,68.3488914819137
ZRP,Cluster,6856,0,1,1,69.9679113185531
ZRP,Cluster,6856,0,2,1,97.62252042007
ZRP,Cluster,6856,0,3,1,97.3745624270712
DSR,Cluster,6856,0,0,1,21.3681446907818
DSR,Cluster,6856,0,1,1,95.9597432905484
ZRP,Cluster,8570,0,0,1,68.5647607934656
ZRP,Cluster,8570,0,1,1,69.50991831972
ZRP,Cluster,8570,0,2,1,97.4445740956826
ZRP,Cluster,8570,0,3,1,97.5145857642941
DSR,Cluster,8570,0,0,1,21.8203033838973
DSR,Cluster,8570,0,1,1,96.2660443407235
ZRP,Cluster,10284,0,0,1,67.8626993387787
ZRP,Cluster,10284,0,1,1,68.1057954103462
ZRP,Cluster,10284,0,2,1,97.4037339556593
ZRP,Cluster,10284,0,3,1,97.4620770128355
DSR,Cluster,10284,0,0,1,21.8397510696227
DSR,Cluster,10284,0,1,1,96.2368728121354
DSR,Cluster,10284,0,2,1,98.2010890704006
