ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,FoundPercentage
DSDV,Original,1696,61,NAN,1,93.75
DSDV,Original,1696,61,NAN,2,93.6320754716981
DSDV,Original,1696,61,NAN,3,93.3962264150943
DSR,Original,1696,61,0,1,17.5117924528302
DSR,Original,1696,61,0,2,19.1037735849057
DSR,Original,1696,61,0,3,18.6517295597484
DSR,Original,1696,61,1,1,92.0990566037736
DSR,Original,1696,61,1,2,92.9540094339623
DSR,Original,1696,61,1,3,93.1800314465409
DSR,Original,1696,61,2,1,92.9245283018868
DSR,Original,1696,61,2,2,93.4257075471698
DSR,Original,1696,61,2,3,93.9072327044025
DSR,Original,1696,61,3,1,93.3372641509434
DSR,Original,1696,61,3,2,93.8384433962264
DSR,Original,1696,61,3,3,93.6910377358491
ZRP,Original,1696,61,0,1,61.7334905660377
ZRP,Original,1696,61,0,2,61.1438679245283
ZRP,Original,1696,61,0,3,61.3404088050314
ZRP,Original,1696,61,1,1,62.7948113207547
ZRP,Original,1696,61,1,2,62.6474056603774
ZRP,Original,1696,61,1,3,62.185534591195
ZRP,Original,1696,61,2,1,91.3915094339623
ZRP,Original,1696,61,2,2,91.3030660377358
ZRP,Original,1696,61,2,3,91.686320754717
ZRP,Original,1696,61,3,1,91.8632075471698
ZRP,Original,1696,61,3,2,91.8337264150943
ZRP,Original,1696,61,3,3,92.2759433962264
ZRP-PRUNE,Original,1696,61,0,1,1.53301886792453
ZRP-PRUNE,Original,1696,61,0,2,1.32665094339623
ZRP-PRUNE,Original,1696,61,0,3,1.47405660377358
ZRP-PRUNE,Original,1696,61,1,1,1.47405660377358
ZRP-PRUNE,Original,1696,61,1,2,1.44457547169811
ZRP-PRUNE,Original,1696,61,1,3,1.69025157232704
ZRP-PRUNE,Original,1696,61,2,1,13.6202830188679
ZRP-PRUNE,Original,1696,61,2,2,12.8537735849057
ZRP-PRUNE,Original,1696,61,2,3,13.6792452830189
ZRP-PRUNE,Original,1696,61,3,1,40.5070754716981
ZRP-PRUNE,Original,1696,61,3,2,41.2735849056604
ZRP-PRUNE,Original,1696,61,3,3,41.3325471698113
ZRP-PRUNE,Original,1696,61,4,1,42.2759433962264
ZRP-PRUNE,Original,1696,61,4,2,40.5365566037736
ZRP-PRUNE,Original,1696,61,4,3,41.0573899371069
ZRP-PRUNE,Original,1696,61,5,1,42.4528301886792
ZRP-PRUNE,Original,1696,61,5,2,42.3349056603774
ZRP-PRUNE,Original,1696,61,5,3,41.9025157232704
ZRP-PRUNE,Original,1696,61,6,1,43.6910377358491
ZRP-PRUNE,Original,1696,61,6,2,41.8632075471698
ZRP-PRUNE,Original,1696,61,6,3,42.059748427673
ZRP-PRUNE,Original,1696,61,7,1,42.4528301886792
ZRP-PRUNE,Original,1696,61,7,2,41.7452830188679
ZRP-PRUNE,Original,1696,61,7,3,41.7845911949685
ZRP-PRUNE,Original,1696,61,8,1,43.2193396226415
ZRP-PRUNE,Original,1696,61,8,2,43.9858490566038
ZRP-PRUNE,Original,1696,61,8,3,41.4897798742138
ZRP-PRUNE,Original,1696,61,9,1,40.4481132075472
ZRP-PRUNE,Original,1696,61,9,2,42.8066037735849
ZRP-PRUNE,Original,1696,61,9,3,41.8238993710692
