ProtocolType,NetworkType,NetworkSize,NoOutboundChannels,TTL,Repeats,FoundPercentage
DSDV,Original,1696,61,1,1,93.75
DSDV,Original,1696,61,2,2,93.6320754716981
DSDV,Original,1696,61,3,3,93.3962264150943
DSR0,Original,1696,61,0,1,17.5117924528302
DSR0,Original,1696,61,0,2,19.1037735849057
DSR0,Original,1696,61,0,3,18.6517295597484
DSR1,Original,1696,61,1,1,92.0990566037736
DSR1,Original,1696,61,1,2,92.9540094339623
DSR1,Original,1696,61,1,3,93.1800314465409
DSR2,Original,1696,61,2,1,92.9245283018868
DSR2,Original,1696,61,2,2,93.4257075471698
DSR2,Original,1696,61,2,3,93.9072327044025
DSR3,Original,1696,61,3,1,93.3372641509434
DSR3,Original,1696,61,3,2,93.8384433962264
DSR3,Original,1696,61,3,3,93.6910377358491
ZRP0,Original,1696,61,0,1,61.7334905660377
ZRP0,Original,1696,61,0,2,61.1438679245283
ZRP0,Original,1696,61,0,3,61.3404088050314
ZRP1,Original,1696,61,1,1,62.7948113207547
ZRP1,Original,1696,61,1,2,62.6474056603774
ZRP1,Original,1696,61,1,3,62.185534591195
ZRP2,Original,1696,61,2,1,91.3915094339623
ZRP2,Original,1696,61,2,2,91.3030660377358
ZRP2,Original,1696,61,2,3,91.686320754717
ZRP3,Original,1696,61,3,1,91.8632075471698
ZRP3,Original,1696,61,3,2,91.8337264150943
ZRP3,Original,1696,61,3,3,92.2759433962264
ZRPP0,Original,1696,61,0,1,1.53301886792453
ZRPP0,Original,1696,61,0,2,1.32665094339623
ZRPP0,Original,1696,61,0,3,1.47405660377358
ZRPP1,Original,1696,61,1,1,1.47405660377358
ZRPP1,Original,1696,61,1,2,1.44457547169811
ZRPP1,Original,1696,61,1,3,1.69025157232704
ZRPP2,Original,1696,61,2,1,13.6202830188679
ZRPP2,Original,1696,61,2,2,12.8537735849057
ZRPP2,Original,1696,61,2,3,13.6792452830189
ZRPP3,Original,1696,61,3,1,40.5070754716981
ZRPP3,Original,1696,61,3,2,41.2735849056604
ZRPP3,Original,1696,61,3,3,41.3325471698113
ZRPP4,Original,1696,61,4,1,42.2759433962264
ZRPP4,Original,1696,61,4,2,40.5365566037736
ZRPP4,Original,1696,61,4,3,41.0573899371069
BLA,Original,1696,61,NAN,NAN,93.75
